FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-01-29,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,381,ORD,"Chicago, IL",LGA,"New York, NY",1235,,,,,,,1545,,,CANCELLED,B,NOT DIVERTED,130.0,,,733.0,,,,,,2022
2022-04-07,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,1361,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",810,,,,,,,934,,,CANCELLED,A,NOT DIVERTED,264.0,,,1747.0,,,,,,2022
2022-03-13,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2782,MSY,"New Orleans, LA",ATL,"Atlanta, GA",1100,,,,,,,1327,,,CANCELLED,A,NOT DIVERTED,87.0,,,425.0,,,,,,2022
2022-12-25,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4568,MSY,"New Orleans, LA",HOU,"Houston, TX",615,,,,,,,735,,,CANCELLED,A,NOT DIVERTED,80.0,,,302.0,,,,,,2022
2022-12-26,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,267,PHL,"Philadelphia, PA",LAX,"Los Angeles, CA",830,,,,,,,1135,,,CANCELLED,B,NOT DIVERTED,365.0,,,2402.0,,,,,,2022
2022-12-27,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5226,BUF,"Buffalo, NY",PHL,"Philadelphia, PA",1615,,,,,,,1733,,,CANCELLED,B,NOT DIVERTED,78.0,,,279.0,,,,,,2022
2022-02-02,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1396,MIA,"Miami, FL",AUS,"Austin, TX",2044,,,,,,,2258,,,CANCELLED,B,NOT DIVERTED,194.0,,,1103.0,,,,,,2022
2022-12-24,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2613,DEN,"Denver, CO",EWR,"Newark, NJ",1720,,,,,,,2259,,,CANCELLED,A,NOT DIVERTED,219.0,,,1605.0,,,,,,2022
2022-12-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2949,OKC,"Oklahoma City, OK",HOU,"Houston, TX",1425,,,,,,,1555,,,CANCELLED,A,NOT DIVERTED,90.0,,,419.0,,,,,,2022
2022-06-17,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1008,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",1225,,,,,,,1537,,,CANCELLED,A,NOT DIVERTED,132.0,,,731.0,,,,,,2022
2022-06-08,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1551,MIA,"Miami, FL",LAS,"Las Vegas, NV",1846,1917.0,31.0,,,,,2050,,,CANCELLED,C,NOT DIVERTED,304.0,,,2174.0,,,,,,2022
2022-04-14,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3776,BIS,"Bismarck/Mandan, ND",MSP,"Minneapolis, MN",525,,,,,,,656,,,CANCELLED,B,NOT DIVERTED,91.0,,,386.0,,,,,,2022
2022-01-24,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,656,BNA,"Nashville, TN",ORD,"Chicago, IL",955,,,,,,,1130,,,CANCELLED,B,NOT DIVERTED,95.0,,,409.0,,,,,,2022
2022-12-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3112,PHX,"Phoenix, AZ",BNA,"Nashville, TN",2025,,,,,,,35,,,CANCELLED,A,NOT DIVERTED,190.0,,,1449.0,,,,,,2022
